,date,symbol,open,high,low,close
153,20240625 11:30:00 US/Central,SR3H5,95.45,95.45,95.445,95.45
154,20240625 11:40:00 US/Central,SR3H5,95.45,95.45,95.445,95.45
155,20240625 11:50:00 US/Central,SR3H5,95.45,95.45,95.445,95.45
156,20240625 12:00:00 US/Central,SR3H5,95.45,95.455,95.445,95.455
157,20240625 12:10:00 US/Central,SR3H5,95.455,95.455,95.45,95.455
158,20240625 12:20:00 US/Central,SR3H5,95.455,95.46,95.45,95.46
159,20240625 12:30:00 US/Central,SR3H5,95.46,95.46,95.45,95.46
160,20240625 12:40:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
161,20240625 12:50:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
162,20240625 13:00:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
163,20240625 13:10:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
164,20240625 13:20:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
165,20240625 13:30:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
166,20240625 13:40:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
167,20240625 13:50:00 US/Central,SR3H5,95.46,95.47,95.455,95.47
168,20240625 14:00:00 US/Central,SR3H5,95.47,95.47,95.46,95.47
169,20240625 14:10:00 US/Central,SR3H5,95.47,95.47,95.46,95.47
170,20240625 14:20:00 US/Central,SR3H5,95.47,95.47,95.465,95.47
171,20240625 14:30:00 US/Central,SR3H5,95.47,95.47,95.465,95.47
172,20240625 14:40:00 US/Central,SR3H5,95.47,95.47,95.465,95.47
173,20240625 14:50:00 US/Central,SR3H5,95.47,95.47,95.465,95.47
174,20240625 15:00:00 US/Central,SR3H5,95.47,95.47,95.46,95.465
175,20240625 15:10:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
176,20240625 15:20:00 US/Central,SR3H5,95.465,95.465,95.455,95.46
177,20240625 15:30:00 US/Central,SR3H5,95.46,95.46,95.45,95.46
178,20240625 15:40:00 US/Central,SR3H5,95.46,95.46,95.45,95.455
179,20240625 15:50:00 US/Central,SR3H5,95.455,95.455,95.45,95.455
180,20240626 08:30:00 US/Central,SR3H5,95.42,95.425,95.415,95.42
181,20240626 08:40:00 US/Central,SR3H5,95.42,95.425,95.42,95.42
182,20240626 08:50:00 US/Central,SR3H5,95.42,95.425,95.42,95.42
183,20240626 09:00:00 US/Central,SR3H5,95.42,95.43,95.42,95.42
184,20240626 09:10:00 US/Central,SR3H5,95.42,95.425,95.415,95.42
185,20240626 09:20:00 US/Central,SR3H5,95.42,95.425,95.41,95.42
186,20240626 09:30:00 US/Central,SR3H5,95.42,95.42,95.41,95.42
187,20240626 09:40:00 US/Central,SR3H5,95.42,95.42,95.41,95.41
